index,x,y,stamp_sec,stamp_nanosec
0,1.4659091132608326,0.03571432828903186,621,100000000
1,1.4626198471457013,0.06414444999824843,621,100000000
2,1.471703595144829,0.079254738570926,621,100000000
3,1.4808587386722536,0.09431734342707271,621,100000000
4,1.4896380478157487,0.10962381643347731,621,100000000
5,1.498565349875822,0.12483601192034079,621,100000000
6,1.5080528922563,0.1396713698074205,621,100000000
7,1.5173491362358225,0.15463915218726587,621,100000000
8,1.5266976589081964,0.16957096742092795,621,100000000
9,1.5361724567317105,0.18441531709455344,621,100000000
10,1.545675604692144,0.19923950336804594,621,100000000
11,1.5551952685580304,0.21405224554957095,621,100000000
12,1.564637944896136,0.22891893845037095,621,100000000
13,1.5742417488472826,0.24367200786663737,621,100000000
14,1.5837677849916512,0.2584803903940796,621,100000000
15,1.5933194402964461,0.27327051687005,621,100000000
16,1.6029065982956399,0.288035302856664,621,100000000
17,1.6125115726652837,0.3027875548377899,621,100000000
18,1.6221278610803946,0.31753163246751054,621,100000000
19,1.6317013641971276,0.33230622767581086,621,100000000
20,1.6413548459111331,0.34702360242427427,621,100000000
21,1.6509628113502681,0.36177367457835874,621,100000000
22,1.6605871626483562,0.3765117576837155,621,100000000
23,1.6702236082709097,0.39124166643766695,621,100000000
24,1.6798726684039278,0.4059620384483122,621,100000000
25,1.6895305716989202,0.4206761434562134,621,100000000
26,1.6991599948104938,0.43541095682100805,621,100000000
27,1.7088364947549337,0.45011171038828063,621,100000000
28,1.7184826938649596,0.4648342622259673,621,100000000
29,1.7281412473924505,0.4795480947554884,621,100000000
30,1.7378089041749152,0.494255115325505,621,100000000
31,1.7474817628173653,0.5089585936765794,621,100000000
32,1.7571615139242955,0.5236571674168106,621,100000000
33,1.7669748227863455,0.5382579214185584,621,100000000
34,1.776716736120099,0.5529112637476803,621,100000000
35,1.7864241871314506,0.5675896740877784,621,100000000
36,1.7966174918654185,0.5819018734849196,621,100000000
37,1.8064686442588607,0.5964748346918894,621,100000000
38,1.8172080142447729,0.6103420768942027,621,100000000
39,1.8272879184310638,0.6247422868081408,621,100000000
40,1.8368074522504503,0.6395553014680461,621,100000000
41,1.846729089846692,0.6540754018692618,621,100000000
42,1.8560261141052123,0.6690426392923468,621,100000000
43,1.8700920735516502,0.6791289714913334,621,100000000
44,1.8796485405769314,0.6939155557483615,621,100000000
45,1.888592358542458,0.7091171245783982,621,100000000
46,1.9025603929746748,0.7193519574945809,621,100000000
47,1.9116259344638544,0.7344739626376061,621,100000000
48,1.9202113442764017,0.7499005986096684,621,100000000
49,1.9282467874420155,0.7656490315487189,621,100000000
50,1.9360363126768294,0.7815326137643369,621,100000000
51,1.9482726479199783,0.7939644398598811,621,100000000
52,1.9578780124291204,0.8087164193626268,621,100000000
53,1.9609547825638574,0.8262801032704121,621,100000000
54,1.96400138191068,0.8438497817025612,621,100000000
55,1.9656684479894322,0.8616213666144208,621,100000000
56,1.968217749521671,0.8792776931714659,621,100000000
57,1.9658484323449197,0.8969612675665286,621,100000000
58,1.9625721708797508,0.9144854421091881,621,100000000
59,1.9618072373689297,0.9323246016593315,621,100000000
60,1.9601544764051368,0.9500978214414723,621,100000000
61,1.9585510030647038,0.9678756733560759,621,100000000
62,1.9567278811863962,0.9856303646083647,621,100000000
63,1.9546727563527497,1.0033572630658754,621,100000000
64,1.9524819930199895,1.0210661779502945,621,100000000
65,1.9503355755436027,1.0387813598374578,621,100000000
66,1.94813518876987,1.0564889123299759,621,100000000
67,1.9460571757522882,1.074213086003685,621,100000000
68,1.9440119344526137,1.0919410743747164,621,100000000
69,1.9421715163898554,1.1096938582783438,621,100000000
70,1.9403877986009357,1.1274529091847154,621,100000000
71,1.9387103288022134,1.1452234041830545,621,100000000
72,1.9370947611373148,1.1630001661841374,621,100000000
73,1.9355119651903228,1.1807801979257826,621,100000000
74,1.9340345069080311,1.198570038889114,621,100000000
75,1.9333521529244746,1.2164130131365798,621,100000000
76,1.9327581005141665,1.2342592571246078,621,100000000
77,1.926786625344174,1.2509847975349706,621,100000000
78,1.9214004894690149,1.2679269582575736,621,100000000
79,1.916628563211606,1.2850699355463664,621,100000000
80,1.9078567967650895,1.300381040685234,621,100000000
81,1.899363199781281,1.315863534725232,621,100000000
82,1.8984782333513013,1.333696699751012,621,100000000
83,1.8954960070217952,1.3512783672318887,621,100000000
84,1.8956267037539232,1.3691349653983635,621,100000000
85,1.893170385468919,1.3868057333095578,621,100000000
86,1.89247840804439,1.4046481626002634,621,100000000
87,1.8982040953300823,1.4214677080517868,621,100000000
88,1.898662379194777,1.4393183116938977,621,100000000
89,1.8988327401092917,1.4571746373819923,621,100000000
90,1.8979124010314128,1.4750056225807302,621,100000000
91,1.8963205018294471,1.492784836887235,621,100000000
92,1.893866914520935,1.5104558772768095,621,100000000
93,1.8905189974344705,1.5279653379869396,621,100000000
94,1.8862911857315123,1.5452644453875735,621,100000000
95,1.881037047053477,1.5622521099996658,621,100000000
96,1.8749058747819396,1.5789141629474475,621,100000000
97,1.8684350210533696,1.5954345271375376,621,100000000
98,1.8618029096652589,1.611884319427162,621,100000000
99,1.8549018621159143,1.6282125863592276,621,100000000
100,1.8464866831713822,1.6437419466806165,621,100000000
101,1.8390281262781256,1.6597988251460265,621,100000000
102,1.8314790570211268,1.6758091098084265,621,100000000
103,1.821844302003068,1.6905401084758986,621,100000000
104,1.8136201613664917,1.7061811849331598,621,100000000
105,1.8012337524627706,1.718448979043838,621,100000000
106,1.7910803720041888,1.7327922409763192,621,100000000
107,1.7826346321322437,1.748303345246236,621,100000000
